char_embeddings:0	(115, 8)
conv_0/w:0	(3, 8, 50)
conv_0/b:0	(50,)
conv_1/w:0	(4, 8, 50)
conv_1/b:0	(50,)
conv_2/w:0	(5, 8, 50)
conv_2/b:0	(50,)
lm_aggregation/lm_scores:0	(3,)
lm_aggregation/lm_scaling:0	()
layer_0/fw_cell/lstm_initial_cell_state:0	(1, 200)
layer_0/fw_cell/lstm_initial_hidden_state:0	(1, 200)
layer_0/bidirectional_rnn/fw/CustomLSTMCell/output_weights:0	(1674, 600)
layer_0/bidirectional_rnn/fw/CustomLSTMCell/output_bias:0	(600,)
layer_0/bw_cell/lstm_initial_cell_state:0	(1, 200)
layer_0/bw_cell/lstm_initial_hidden_state:0	(1, 200)
layer_0/bidirectional_rnn/bw/CustomLSTMCell/output_weights:0	(1674, 600)
layer_0/bidirectional_rnn/bw/CustomLSTMCell/output_bias:0	(600,)
layer_1/fw_cell/lstm_initial_cell_state:0	(1, 200)
layer_1/fw_cell/lstm_initial_hidden_state:0	(1, 200)
layer_1/bidirectional_rnn/fw/CustomLSTMCell/output_weights:0	(600, 600)
layer_1/bidirectional_rnn/fw/CustomLSTMCell/output_bias:0	(600,)
layer_1/bw_cell/lstm_initial_cell_state:0	(1, 200)
layer_1/bw_cell/lstm_initial_hidden_state:0	(1, 200)
layer_1/bidirectional_rnn/bw/CustomLSTMCell/output_weights:0	(600, 600)
layer_1/bidirectional_rnn/bw/CustomLSTMCell/output_bias:0	(600,)
layer_2/fw_cell/lstm_initial_cell_state:0	(1, 200)
layer_2/fw_cell/lstm_initial_hidden_state:0	(1, 200)
layer_2/bidirectional_rnn/fw/CustomLSTMCell/output_weights:0	(600, 600)
layer_2/bidirectional_rnn/fw/CustomLSTMCell/output_bias:0	(600,)
layer_2/bw_cell/lstm_initial_cell_state:0	(1, 200)
layer_2/bw_cell/lstm_initial_hidden_state:0	(1, 200)
layer_2/bidirectional_rnn/bw/CustomLSTMCell/output_weights:0	(600, 600)
layer_2/bidirectional_rnn/bw/CustomLSTMCell/output_bias:0	(600,)
layer_1/output_weights:0	(400, 400)
layer_1/output_bias:0	(400,)
layer_2/output_weights:0	(400, 400)
layer_2/output_bias:0	(400,)
span_width_embeddings:0	(30, 20)
head_scores/output_weights:0	(400, 1)
head_scores/output_bias:0	(1,)
mention_scores/hidden_weights_0:0	(1270, 150)
mention_scores/hidden_bias_0:0	(150,)
mention_scores/hidden_weights_1:0	(150, 150)
mention_scores/hidden_bias_1:0	(150,)
mention_scores/output_weights:0	(150, 1)
mention_scores/output_bias:0	(1,)
src_projection/output_weights:0	(1270, 1270)
src_projection/output_bias:0	(1270,)
genre_embeddings:0	(7, 20)
coref_layer/same_speaker_emb:0	(2, 20)
coref_layer/antecedent_distance_emb:0	(10, 20)
coref_layer/slow_antecedent_scores/hidden_weights_0:0	(3870, 150)
coref_layer/slow_antecedent_scores/hidden_bias_0:0	(150,)
coref_layer/slow_antecedent_scores/hidden_weights_1:0	(150, 150)
coref_layer/slow_antecedent_scores/hidden_bias_1:0	(150,)
coref_layer/slow_antecedent_scores/output_weights:0	(150, 1)
coref_layer/slow_antecedent_scores/output_bias:0	(1,)
coref_layer/f/output_weights:0	(2540, 1270)
coref_layer/f/output_bias:0	(1270,)
